# wavelength[nm] / analyte_index / effective index supermode 1 lossy
 (1875.903614+0.000000j)	 (1.420000+0.000000j)	 (1.926971+0.054931j)
 (1878.313253+0.000000j)	 (1.420000+0.000000j)	 (1.926119+0.054887j)
 (1880.722892+0.000000j)	 (1.420000+0.000000j)	 (1.925271+0.054843j)
 (1883.132530+0.000000j)	 (1.420000+0.000000j)	 (1.924426+0.054800j)
 (1885.542169+0.000000j)	 (1.420000+0.000000j)	 (1.923585+0.054756j)
 (1887.951807+0.000000j)	 (1.420000+0.000000j)	 (1.922746+0.054713j)
 (1890.361446+0.000000j)	 (1.420000+0.000000j)	 (1.921910+0.054669j)
 (1892.771084+0.000000j)	 (1.420000+0.000000j)	 (1.921078+0.054626j)
 (1895.180723+0.000000j)	 (1.420000+0.000000j)	 (1.920249+0.054582j)
 (1897.590361+0.000000j)	 (1.420000+0.000000j)	 (1.919423+0.054539j)
 (1900.000000+0.000000j)	 (1.420000+0.000000j)	 (1.918600+0.054496j)
